PSTW ID,Name,Website,Description,Geographical extent,Geographical coverage (country),NUTS 2021,Responsible organisation,Responsible organisation category,Functions of Government (COFOG level I),Functions of Government (COFOG level II), Status,Start Year,End Year,Process type,Application type,Cross Border,Cross Sector,Primary Technology,Secondary Technology,Interaction,Improved Public Service,Personalized Services,Public (citizen)-centered services,Increase quality of PSI and services,"More responsive, efficient, and cost-effective public services",New services or channels,Improved Administrative Efficiency,Cost-reduction,Responsiveness of government operation,Improved management of public resources,Increased quality of processes and systems,Better collaboration and better communication,Reduced or eliminated the risk of corruption and abuse of the law by public servants,"Enabled greater fairness, honesty, equality",Open government capabilities,Increased transparency of public sector operations,Increased public participation in government actions and policy making,Improved public control and influence on government actions and policies,Source,AI Classification (I),AI Classification Subdomain (II) (main),AI Classification Subdomain (II) (Other I),AI Classification Subdomain (II) (Other II),AI Classification Subdomain (II) (Other III),AI Keywords,Collaboration type,Procurement (EU Model Contractual AI),Funding source,GovTech,Company name or GovTech ID,GovTech Initiative + ID,Open components in input,Open components in output,Stories link,Date updated
PSTW-455,"Detecting tax evasion schemes - Machine learning to detect tax evasion
",https://automatingsociety.algorithmwatch.org/report2020/slovenia/,"The Ministry of Finance’s financial administration has been using machine learning to detect tax evasion schemes, and tax fraud, and to find errors in tax reports. During the research for this report, we also learned that the ministry ranks “risky” citizens who it thinks are more likely to become tax evaders.
",National,Slovenia,SI,Ministry of Finance,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2018,,Enforcement,Supporting inspection processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/slovenia/,Reasoning,Automated reasoning,Machine learning,,,,,,,,,,,,,10/10/2024
PSTW-456,Detect early learning problems in primary schools (METS),https://automatingsociety.algorithmwatch.org/report2020/slovenia/,"Slovenia was one of the first countries in the world to develop and test an intelligent system to detect early learning problems in primary schools (METIS). The system was designed to monitor pupils’ grades and absences, to search for specific learning patterns, and help teachers find “problematic” pupils. However, the system has been critized. The educational experts were  critical of the methodology and they claimed that grades and absences by themselves were not sufficient indicators to reliably detect learning problems. In addition, the budget was too small, and thus researchers had to use interpolated data and take other shortcuts. The public debate also addressed another related issue: that a lot of school data is collected and owned by a private (commercial) contractor - which has a de facto monopoly on AI development in education. ",National,Slovenia,SI,"Ministry of Education, Science and Sport",Central-Government,Education,Pre-primary and primary education.,Pilot,2011,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/slovenia/,Learning,Machine learning,Optimisation,,,,,,,,,,,,,14/10/2024
PSTW-457,Checks for financial support - AI for checking companies requesting support,https://automatingsociety.algorithmwatch.org/report2020/sweden/,"The Public Employment Services is actively working and experimenting with AI. ADM is  used to perform financial checks on companies seeking financial support to help them employ the long-term unemployed. The eligibility of a company to receive this support is automatically rated: green = eligible for support, yellow = needs an additional manual check, and red = not eligible). There are limited possibilities for caseworkers to challenge the automated decision in this specific area.",National,Sweden,SE,Public Employment Service,Central-Government,Social protection,Unemployment.,Pilot,2019,,Adjudication,Taking decisions on benefits  ,No,No,Artificial Intelligence,,G2B,x,,x,,x,,,,,,,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/sweden/,Planning,Planning and Scheduling,Knowledge representation,,,,,,,,,,,,,24/04/2025
PSTW-458,Yasmine - Robot employee,https://automatingsociety.algorithmwatch.org/report2020/sweden/,"Nacka municipality is part of Stockholm county, and it has developed and implemented a so-called robot employee called Yasmine. The robot is part of an RPA service platform that was provided by the Norwegian company Basefarm. So far, the administration of Nacka has automated three processes. Two of these are in the so-called Establishment Unit (Etablering), and the other is in the Work and Business Unit. The Establishment Unit is responsible for economic support, unaccompanied children and minors (refugees). The Work and Business Unit administers adult education, societal orientation, and labor market initiatives",Local,Sweden,SE,Nacka municipality,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2018,2020,Adjudication,Taking decisions on benefits  ,No,No,Artificial Intelligence,,G2C,x,,x,,x,,,,,,,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/sweden/,Integration and Interaction,Robotics and Automation,Automated reasoning,,,,,,,,,,,,,10/10/2024
PSTW-459,Fall-Screening-Tool FaST - Assisting risk-oriented sanctioning,https://automatingsociety.algorithmwatch.org/report2020/switzerland/,The Swiss Execution of Penal Sentences and Justice has been introducing a tool called Fall-Screening-Tool to assist in the classification of cases in Risk-Oriented Sanctioning. ,National,Switzerland,CH,Swiss Execution of Penal Sentences and Justice,Central-Government,Public order and safety,Police Services,Implemented,2017,,Enforcement,Supporting inspection processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,,x,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/switzerland/,Learning,Machine learning,Searching,,,,,,,,,,,,,01/10/2024
PSTW-460,Facial recognition Settled Status Applications - Checking identity,https://automatingsociety.algorithmwatch.org/report2020/united-kingdom/,"As part of preparations for Brexit, the UK government launched a scheme to establish the residency rights of the estimated 3.4 million EU citizens living in the country.The registration system uses an the app checks identity through facial matching.",National,United Kingdom,UK,UK government,Central-Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2017,,Public services and engagement,Service integration (various),No,No,Artificial Intelligence,,G2C,x,,,,x,,,,,,,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/united-kingdom/,Perception,Computer vision,Machine learning,,,face recognition,,,,,,,,,,01/10/2024
PSTW-461,Facial recognition for apprehension police - Apprehension of suspects,https://automatingsociety.algorithmwatch.org/report2020/united-kingdom/,"Police forces had begun trialing the use of automatic face recognition systems to automatically decide when people should be apprehended as suspects. This development was challenged by the civil society organization Big Brother Watch, which monitored the use of face recognition at Notting Hill Carnival in London and observed a high number of false positives.",National,United Kingdom,UK,Police,Central-Government,Public order and safety,Police Services,Pilot,2017,,Enforcement,Smart Recognition processes,No,No,Artificial Intelligence,,G2C,x,,,,x,,,,,,,,,,,,,,https://automatingsociety.algorithmwatch.org/report2020/united-kingdom/,Perception,Computer vision,Machine learning,,,face recognition,,,,,,,,,,10/10/2024
PSTW-462,Financial Assistance Automation,https://skr.se/skr/tjanster/larandeexempel/allalarandeexempel/saharautomatiseradenackaprocessenekonomisktbistand.50611.html,"Nacka wants to be a modern municipality where the administrators will have more time for individual support with a focus on self-sufficiency through reduced administration. In 2017, work was therefore started on introducing e-service and in December of the same year, the processing process was automated. Nacka was then the second municipality in Sweden to automate the process of financial assistance.Through automation, an increase in quality has been achieved for those who apply digitally. The process is more efficient and customer-oriented. The client chooses when he wants to initiate a case and can then follow his case. ",Local,Sweden,SE,Municipality of Nacka,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Pilot,2017,2019,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2C,x,,,x,x,,,,,,,,,,,,,,https://skr.se/skr/tjanster/larandeexempel/allalarandeexempel/saharautomatiseradenackaprocessenekonomisktbistand.50611.html,Integration and Interaction,Robotics and Automation,Automated reasoning,,,,,,,,,,,,,01/10/2024
PSTW-463,Automated processes Uddevalla - AI to internal processes,https://nexergroup.com/us/cases/uddevalla-municipality/,"Uddevalla municipality has 10 automated processes underway, which corresponds to 20 full-time positions' annual work. Until 2021, more automated processes will be started, which will free up twice as many full-time jobs. Before the end of the year, Uddevalla municipality will, through automation, free up resources corresponding to 20 full-time positions' annual work within the social administration. They will also be working on new processes so that another 20 full-time positions can be released by 2021. An automated process can also handle increased volumes without additional resources. The freed up resources can, for example, be used to strengthen childcare and handle increased volumes in the home care service.
Right now, Uddevalla municipality has 10 automated processes and the processes involved are:
Compensation, Sick pay costs, Authorization admin, Info technology group, Planning system, Financial aid, Automatic closing, Accounting Försäkringskassan, Lunch boxes,   Absence, Extra time, New decisions, Change in income, Resource allocation",Local,Sweden,SE,Uddevalla municipality,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Implemented,2021,,Internal management,Internal primary processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://skr.se/skr/tjanster/larandeexempel/allalarandeexempel/uddevallakommunhar10automatiseradeprocesserigang.51089.html,Learning,Robotics and Automation,Optimisation,,,,,,,,,,,,,01/10/2024
PSTW-464,RPA in Södertälje - Automation of internal services,https://skr.se/skr/tjanster/larandeexempel/allalarandeexempel/tekniskavagvalocherfarenhetervidinforandetavrpaisodertalje.50823.html,"Municipality of Södertälje has introduced RPA to automate several services within the following areas: Absence reporting of hourly employees, terminate hourly employees, travel service booking and employer certificate. ",Local,Sweden,SE,Municipality of Södertälje,Local Government,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",In development,2019,,Internal management,Internal support processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://skr.se/skr/tjanster/larandeexempel/allalarandeexempel/tekniskavagvalocherfarenhetervidinforandetavrpaisodertalje.50823.html,Learning,Robotics and Automation,Optimisation,,,,,,,,,,,,,09/10/2024
PSTW-465,Machine Learning SoSi (ML_SoSi),https://www.experimental.bfs.admin.ch/expstat/en/home/projects/ml-sosi.html,Grouping of typical prospective progression patterns with regard to benefit payments in the system of social security and gainful employment as well as estimation of group membership by using individual characteristics and retrospective progression data using a machine learning approach.,National,Switzerland,CH,Federal Statistical Office,Central-Government,General public services,R&D general public services.,Pilot,2019,,"Analysis, monitoring and regulatory research",Information analysis processes,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,,,,,,,,,https://www.experimental.bfs.admin.ch/expstat/de/home/innovative-datenwissenschaft/ml-sosi.html,Learning,Machine learning,,,,,,,,,,,,,,01/10/2024
PSTW-467,MedicalGuide project,https://medicalguide.ch/de/,"Canton Aargau has been involved in the MedicalGuide project, which provides users with an initial assessment of disease by using a Chatbot",Local,Switzerland,CH,Canton Aargau,Local Government,Health,Health n.e.c.,Not in use,2020,2025,Public services and engagement,Service personalisation (various),No,No,Artificial Intelligence,,G2C,x,,x,,x,,,,,,,,,,,,,,https://www.egovernment.ch/de/dokumentation/trends-in-der-digitalisierung/kunstliche-intelligenz-ki/,Learning,Machine learning,Knowledge representation,,,,,,,,,,,,,24/04/2025
PSTW-468,Manchester’s Research & Intelligence Database - Identifying troubled families,https://www.local.gov.uk/sites/default/files/documents/childrens-social-care-and-b32.pdf,"Manchester City Council is using a system it calls the Manchester Research & Intelligence Database to identify Troubled Families, families in need of support, to enable caseworkers to access more information more quickly than previously and to enable the collection and analysis of data to assess services and impact. The Council developed the system by buying an IBM product called iBase. The approach to using the system has been internally developed. It is noted that the aim is to empower ‘lead professionals to make the best use of data they are legally able to see, and is not about replacing decision making or interpretation with system algorithms or decisions’. The stated aim is to enable a more ‘holistic’ understanding of people, needs and services. Future goals include developing decision making tools, building performance reporting tools, building threshold and alerting tools and rolling the system out to more users, as well as connecting more data.",Local,United Kingdom,UK,Manchester City Council,Local Government,Social protection,Family and children.,Implemented,2016,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,,x,x,,,,,,,,https://data-scores.org/case-studies,Perception,Planning and Scheduling,Knowledge representation,,,,,,,,,,,,,01/10/2024
PSTW-469,Efficient and targeted COVID-19 border testing via reinforcement learning,https://www.nature.com/articles/s41586-021-04014-z,"Here we report the design and performance of a reinforcement learning system, nicknamed ‘Eva’. In the summer of 2020, Eva was deployed across all Greek borders to limit the influx of asymptomatic travellers infected with SARS-CoV-2, and to inform border policies through real-time estimates of COVID-19 prevalence. In contrast to country-wide protocols, Eva allocated Greece’s limited testing resources based upon incoming travellers’ demographic information and testing results from previous travellers.",National,Greece,EL,Department of Hygiene and Epidemiology - University of Thessaly,Central-Government,Health,Public health services.,Implemented,2021,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,IPSO DB,Learning,Machine learning,Planning and Scheduling,,,,Universities/Research organisations,,,,,,,,,01/10/2024
PSTW-470,Predictive Healthcare Assistance DB (BDA) in Regione Lombardia,https://www.ariaspa.it/wps/portal/Aria/Home/progetti/digital/intelligenza-artificiale/,"The evolution of the Assisted Database from a predictive point of view of the Region, which up to now has been involved in stratifying the Lombard population, according to their consumption, on 62 chronic pathologies for tracers, level of complexity, territory, gender, age group and assistance. The project has having regard to the scientific direction of the Logical Epidemic Observatory of the Lombardy Region.",Regional,Italy,IT,Aria Spa,Regional Government,Health,Health n.e.c.,Implemented,2021,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,x,x,x,,,,,,,,https://www.ariaspa.it/wps/portal/Aria/Home/progetti/digital/intelligenza-artificiale/,Planning,Planning and Scheduling,Machine learning,,,,,,,,,,,,,01/10/2024
PSTW-471,"Finding the ‘next-best-clinical-action""",https://www.ariaspa.it/wps/portal/Aria/Home/progetti/digital/intelligenza-artificiale/,"Use of data & process mining techniques, of the characteristics of a specific pathology: cognitive dementia. The project aims to identify the so-called 'next-best-clinical-action', that is to analyze and predict, according to consumption and health events of the chronic population affected by this pathology, what the medical pathway may be, the 'patient journey ', carried out by a chronic patient, year by year, in the five years following the onset of the disease.",Regional,Italy,IT,Aria Spa,Regional Government,Health,Health n.e.c.,Implemented,2021,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,,x,x,x,,,,,,,,https://www.ariaspa.it/wps/portal/Aria/Home/progetti/digital/intelligenza-artificiale/,Learning,Machine learning,Automated reasoning,,,,,,,,,,,,,01/10/2024
PSTW-472,Geo Machine Learning for Health,https://www.ariaspa.it/wps/portal/Aria/Home/progetti/digital/intelligenza-artificiale/,"In this project we look at patients suffering from respiratory diseases, in particular respiratory insufficiency, chronic obstructive pulmonary disease (COPD) and asthma. In particular, by applying machine learning techniques we are able to determine what we have defined UMTA or Minimum Unit Territorial Aggregation. A kind of geographical area where they are assisted aggregates characterized by homogeneous sanitary properties, still related to the tracers above cited defined by the Regional Logical Epidemic Observatory",Regional,Italy,IT,Aria Spa,Regional Government,Health,Health n.e.c.,Implemented,2021,,"Analysis, monitoring and regulatory research",Prediction and planning ,No,No,Artificial Intelligence,,G2G,,,,,,,x,x,,x,,,,,,,,,https://www.ariaspa.it/wps/portal/Aria/Home/progetti/digital/intelligenza-artificiale/,Learning,Machine learning,Planning and Scheduling,,,,,,,,,,,,,10/10/2024
PSTW-473,CEF Data Marketplace,https://www.datamarketplace.eu/,"CEF Data Marketplace aims to develop a broader market serving the data needs of all stakeholders in the global translation space, across various desired language combinations and domains. It focuses on the development of a universal, secure language data trading platform that will open up a continuous and long-term supply of language data for machine translation and other machine learning applications.",Across Countries,Netherlands,NL,TAUS ,Consortium,General public services,General services.,Not in use,2021,2025,Public services and engagement,Data Sharing Management,Yes,Yes,Artificial Intelligence,,G2B,x,,,x,x,x,,,,,,,,,x,x,,,https://www.datamarketplace.eu/,Communication,Natural language processing,Knowledge representation,Searching,,,,,,,,,,,,30/10/2025
